s@0|2024-04-15 18:30:05.929879
r@0,|2024-04-15 18:30:05.952445
s@1|2024-04-15 18:30:06.184865
r@1,|2024-04-15 18:30:06.204602
s@2|2024-04-15 18:30:06.637373
r@2,|2024-04-15 18:30:06.657435
s@3|2024-04-15 18:30:07.274034
r@3,|2024-04-15 18:30:07.291609
s@4|2024-04-15 18:30:08.073545
r@4,|2024-04-15 18:30:08.092212
s@5|2024-04-15 18:30:08.569333
r@5,|2024-04-15 18:30:08.590915
s@6|2024-04-15 18:30:08.947277
r@6,|2024-04-15 18:30:08.969370
s@7|2024-04-15 18:30:09.800534
r@7,|2024-04-15 18:30:09.819208
s@8|2024-04-15 18:30:10.384090
s@9|2024-04-15 18:30:10.864271
r@9,|2024-04-15 18:30:10.881346
s@10|2024-04-15 18:30:11.239915
s@11|2024-04-15 18:30:11.707371
s@12|2024-04-15 18:30:11.821334
s@13|2024-04-15 18:30:12.159719
r@13,|2024-04-15 18:30:12.179386
s@14|2024-04-15 18:30:12.785858
r@14,|2024-04-15 18:30:12.805393
s@15|2024-04-15 18:30:13.286029
r@15,|2024-04-15 18:30:13.309595
s@16|2024-04-15 18:30:13.795033
r@16,|2024-04-15 18:30:13.814633
s@17|2024-04-15 18:30:14.260998
r@17,|2024-04-15 18:30:14.278559
s@18|2024-04-15 18:30:14.462374
s@19|2024-04-15 18:30:15.032122
s@20|2024-04-15 18:30:15.809748
s@21|2024-04-15 18:30:16.095685
s@22|2024-04-15 18:30:16.599950
r@22,|2024-04-15 18:30:16.613700
s@23|2024-04-15 18:30:16.983993
r@23,|2024-04-15 18:30:16.998568
s@24|2024-04-15 18:30:17.928393
r@24,|2024-04-15 18:30:17.944144
s@25|2024-04-15 18:30:18.847804
r@25,|2024-04-15 18:30:18.866998
s@26|2024-04-15 18:30:19.278885
s@27|2024-04-15 18:30:19.478337
r@27,|2024-04-15 18:30:19.504454
s@28|2024-04-15 18:30:19.820396
r@28,|2024-04-15 18:30:19.839477
s@29|2024-04-15 18:30:20.562305
r@29,|2024-04-15 18:30:20.579416
s@30|2024-04-15 18:30:21.150015
r@30,|2024-04-15 18:30:21.173775
s@31|2024-04-15 18:30:21.475171
r@31,|2024-04-15 18:30:21.500266
s@32|2024-04-15 18:30:21.776208
r@32,|2024-04-15 18:30:21.797307
s@33|2024-04-15 18:30:22.259457
s@34|2024-04-15 18:30:22.915633
r@34,|2024-04-15 18:30:22.931701
s@35|2024-04-15 18:30:23.724925
r@35,|2024-04-15 18:30:23.747509
s@36|2024-04-15 18:30:24.462979
r@36,|2024-04-15 18:30:24.486155
s@37|2024-04-15 18:30:25.125382
r@37,|2024-04-15 18:30:25.148483
s@38|2024-04-15 18:30:25.769154
r@38,|2024-04-15 18:30:25.787733
s@39|2024-04-15 18:30:26.393345
s@40|2024-04-15 18:30:26.839674
r@40,|2024-04-15 18:30:26.861777
s@41|2024-04-15 18:30:27.475732
s@42|2024-04-15 18:30:27.600233
r@42,|2024-04-15 18:30:27.618653
s@43|2024-04-15 18:30:28.058623
s@44|2024-04-15 18:30:28.355406
s@45|2024-04-15 18:30:28.918071
r@45,|2024-04-15 18:30:28.938647
s@46|2024-04-15 18:30:29.673107
r@46,|2024-04-15 18:30:29.689262
s@47|2024-04-15 18:30:30.175236
r@47,|2024-04-15 18:30:30.197096
s@48|2024-04-15 18:30:30.901453
r@48,|2024-04-15 18:30:30.917510
s@49|2024-04-15 18:30:31.340018
s@50|2024-04-15 18:30:31.835692
r@50,|2024-04-15 18:30:31.854241
s@51|2024-04-15 18:30:32.532151
r@51,|2024-04-15 18:30:32.551289
s@52|2024-04-15 18:30:32.868245
r@52,|2024-04-15 18:30:32.892591
s@53|2024-04-15 18:30:33.414454
s@54|2024-04-15 18:30:33.692903
r@54,|2024-04-15 18:30:33.715591
s@55|2024-04-15 18:30:34.037657
s@56|2024-04-15 18:30:34.349986
